id,type,name,lat,lng,loca,oh,vis,note
1,cctv,금정-방범-005,35.233743,129.087803,카사빌라 앞,,,
2,cctv,금정-방범-006,35.236939,129.081151,한신빌라 앞,,,
3,cctv,금정-방범-024,35.232967,129.08632,GS25 금정로점,,,
4,cctv,금정-방범-41,35.232474,129.088954,동행빌딩 앞 삼거리,,,
5,cctv,금정-방범-44,35.236612,129.087109,성주빌라 앞,,,
6,cctv,금정-방범-52,35.236545,129.084477,상남회관 인근 골목,,,
7,cctv,금정-방범-57,35.231942,129.086041,조선칼국수 앞,,,
8,cctv,금정-방범-58,35.231721,129.084342,부산대 정문,,,
9,cctv,금정-방범-59,35.233218,129.087761,타이탄원룸 앞,,,
10,cctv,금정-방범-61,35.238964,129.087388,우남이채롬 사거리,,,
11,cctv,금정-방범-63,35.237627,129.088055,장전역 1번출구,,,
12,cctv,금정-방범-72,35.23559,129.08454,미리내원룸,,,
13,cctv,금정-방범-73,35.236974,129.083042,부산대 인근 CU앞,,,
14,cctv,금정-방범-80,35.235423,129.086923,준하우스 사거리,,,
15,cctv,금정-방범-93,35.238928,129.085496,다온빌 옆골목,,,
16,cctv,금정-방범-121,35.22898,129.087599,카페비윤 앞골목,,,
17,cctv,금정-방범-121-1,35.229441,129.088135,올리브영 골목,,,
18,cctv,금정-방범-124,35.23466,129.085268,대동커피 앞,,,
19,cctv,금정-방범-125,35.23247,129.084707,홍숙헤어샵 앞 삼거리,,,
20,cctv,금정-방범-211,35.236963,129.082058,드림밸리 앞,,,
21,cctv,금정-방범-212,35.237703,129.080702,코스빌 앞,,,
22,cctv,금정-방범-270,35.229561,129.083233,부산대 후문 삼거리,,,
23,cctv,금정-방범-271,35.233247,129.086023,부산대 원룸촌,,,
24,cctv,금정-방범-273,35.229681,129.084639,부산장전동 우체국 앞,,,
25,cctv,금정-방범-295,35.234,129.083393,남정빌라 앞,,,
26,cctv,금정-방범-296,35.233877,129.084153,한사랑원룸옆 한전주,,,
27,cctv,금정-방범-297,35.234391,129.084821,공감원룸 옆 한전주,,,
28,cctv,금정-방범-298,35.234194,129.08504,가인빌 앞,,,
29,cctv,금정-2023-방범-318,35.237425,129.087231,호민과학교습소 안 골목,,,
30,cctv,금정-방범-0344,35.2369989,129.0840591,초원식당 앞,,,
31,cctv,금정-방범-0344-1,35.2370408,129.0841014,초원식당 옆,,,
32,cctv,금정-방범-0345,35.2378941,129.0792922, ,,,
33,cctv,부산-03-금정-방범-2022-0049,35.232725,129.087562,CU 부산장전원룸점 앞,,,
34,cctv,부산-04-금정-방범-2020-0075,35.238258,129.086172,까치공원,,,
35,cctv,부산-04-금정-방범-2020-0219,35.237895,129.084083,부산레포츠사거리,,,
36,cctv,부산-09-금정-방범-2016-0254,35.231396,129.08587,갤러리안경본점 앞,,,
